Receptor TF PPR
3364 Sdc4 Hnrnpu 0.000812791943724564
3219 Sdc4 Srsf7 0.000812410407336123
1613 Cldn3 Srsf3 0.000812125692115367
790 Cdh1 Rbm34 0.000809334489976457
2453 Sdc1 Ezh2 0.000808926164470094
637 Cdh1 Srsf3 0.000808027579948719
371 Cd44 Rock2 0.000806757652785181
2102 F11r Ssrp1 0.000806678518566986
417 Cd44 Cyld 0.00080573541904486
2531 Sdc1 Gtf2i 0.000805450402722403
2066 F11r Npm1 0.000804906405390211
1383 Ceacam1 Rac1 0.00080471857556643
2678 Sdc1 Pa2g4 0.000804715784798175
1901 Cldn3 Hnrnpu 0.000804529550781224
1179 Ceacam1 Rbm39 0.000803218295550005
3247 Sdc4 Smc4 0.000801440000361817
321 Cd44 Smc4 0.000800913339519982
185 Cd44 Gtf3c1 0.000800595779338621
1629 Cldn3 Fmr1 0.000800552018801146
128 Cd44 Rfc1 0.000800380561547431
2419 F11r Tes 0.000799135673152906
2167 F11r Nono 0.000796825682194251
2579 Sdc1 Gtf2h1 0.000796478874401425
3083 Sdc4 Khdrbs1 0.000796279844048805
293 Cd44 Srsf7 0.000794773736900692
3080 Sdc4 Srsf6 0.000790498761744176
2697 Sdc1 Nolc1 0.000788498760377132
1413 Ceacam1 Hnrnpu 0.000787113471497984
346 Cd44 Dusp1 0.000787095447785155
2254 F11r Rbm34 0.000786664835766266
1756 Cldn3 Srsf7 0.000785495827542937
420 Cd44 Lgals9 0.000784550224471708
925 Cdh1 Hnrnpu 0.000783119695219406
1191 Ceacam1 Nono 0.000782960682921218
215 Cd44 Cnbp 0.000782395402907877
546 Cdh1 Crebbp 0.000780358631007483
